job_id,arrive_time,model_size,batch_size,dataset_size,epochs,uses_gpu,true_runtime
0,0,733,10,53451,46,0,6419.254981066874
1,0,441,100,36613,5,0,160.13383231007558
2,0,98,86,74251,5,0,367.48153878998266
3,0,436,49,18100,42,0,923.4781198449148
4,0,621,66,43998,46,0,2086.0794910463846
5,0,916,73,56718,33,1,1657.8138668172444
6,0,1207,84,89964,33,1,2284.7445099623146
7,1,200,67,97042,34,0,4035.487074194548
8,1,1387,46,63870,27,1,2438.356918664902
9,1,737,54,58632,7,1,363.2260851659145
10,1,620,102,82203,44,0,3741.197787306012
11,1,674,46,58274,20,0,2176.7295223008723
12,1,872,29,65870,31,1,2940.2172149219077
13,1,553,60,37807,26,0,1390.9588536729675
14,1,993,80,69491,29,1,1569.9296334450778
15,51,65,125,41286,17,0,470.2297802265402
16,63,737,113,99741,42,1,2299.3606174684883
17,63,668,8,22621,2,0,104.17531315980499
18,63,1084,126,57086,15,1,549.0028090236633
19,63,449,65,74345,40,0,4057.2840879211085
20,63,706,98,34287,26,0,893.0217896893515
21,63,410,116,61032,20,0,1161.3409258083047
22,63,161,14,86543,3,0,583.2455920285166
23,63,448,40,29859,42,0,2197.7659788945707
24,63,653,63,50811,11,0,867.0952642279013
25,63,53,56,52650,27,0,1868.4190472632285
26,64,311,9,55436,13,0,1723.8077344812598
27,64,922,116,52729,23,1,854.9121034505833
28,64,973,96,77695,28,1,1355.6390939478272
29,64,179,128,93418,26,0,2126.046897431228
30,64,1225,106,56164,10,1,402.59560229899023
31,64,1236,52,5430,50,1,1074.3680516751756
32,65,385,20,28738,6,0,374.3938774781317
33,65,531,103,81070,12,1,595.8485846506662
34,113,515,33,8527,17,1,273.08713051183594
35,126,502,21,91541,3,0,534.2786870100174
36,127,1376,61,75119,18,1,1370.3990994930205
37,127,752,72,86925,39,1,2775.6464870601976
38,127,624,117,83647,39,0,2707.9161280601866
39,127,70,74,11107,16,0,190.89663665735094
40,128,202,29,55817,14,0,1469.177544592971
41,128,605,95,38181,23,0,937.2678404815744
42,128,95,116,53810,1,0,48.58308060990133
43,198,664,11,71026,22,1,2235.6209940277313
44,226,419,113,39430,49,0,1660.8005581586035
45,236,189,103,11108,44,0,497.49897670839584
46,242,183,90,7188,38,0,337.76001038148536
47,243,521,77,83818,11,0,1169.0834699833117
48,243,487,27,54141,44,0,5453.095251557286
49,243,526,70,32256,5,0,223.66562673358604
50,243,436,59,15505,18,0,427.5901227359611
51,243,728,36,47547,5,0,404.44374079564466
52,244,472,19,60321,10,0,1218.372861542095
53,249,58,3,33189,11,0,637.2131581703159
54,249,645,74,17666,12,0,354.54851253349244
55,249,353,21,38289,1,0,82.11545211002273
56,249,1462,24,9718,5,1,169.14509111255614
57,249,479,116,16496,32,0,631.3443356775812
58,249,183,13,95114,43,0,9450.264092113872
59,250,886,128,20916,13,1,215.48933319958917
60,250,307,115,93718,2,0,189.86199135671072
61,250,541,54,65975,34,1,2118.453932847805
62,250,367,122,72349,46,0,3063.5749549078464
63,250,739,59,33318,30,0,1339.7698587198415
64,250,262,101,68847,50,0,3117.338274133874
65,250,622,78,2410,10,0,154.8712616654439
66,250,502,103,96847,44,0,4412.562989970695
67,250,160,65,68210,41,0,3403.1551095126156
68,250,1145,122,72949,23,1,1224.8660738147594
69,259,512,1,1209,22,0,548.1796474804898
70,280,68,2,75065,1,0,181.91715662568313
71,284,350,36,7927,29,0,580.0627694263645
72,285,395,40,21574,17,0,542.9722871037927
73,285,494,113,95954,13,0,1096.33187941594
74,285,112,14,45016,33,0,2339.54300793244
75,285,473,12,67061,35,0,5361.203713590441
76,285,443,87,57102,35,0,2396.68632664549
77,285,877,92,71018,7,1,403.68326496901494
78,285,719,112,33541,9,0,290.2567771279854
79,285,726,36,36705,27,0,1972.9643116490183
80,285,102,108,6975,36,0,238.70757969547483
81,286,1059,87,71953,17,1,896.3237530954037
82,286,275,30,33888,30,0,1497.569821908544
83,286,432,5,95059,42,0,10188.236139809878
84,286,720,101,53128,20,0,1184.3671550690678
85,286,656,17,70055,12,1,1168.173646546092
86,286,558,58,40774,35,1,1094.9997538602863
87,286,664,27,51794,21,0,2301.9214590016118
88,286,1193,43,5228,18,1,361.37879399269394
89,286,782,128,65815,31,0,1975.0908886250145
90,313,963,72,53664,5,1,250.2528497657632
91,313,1282,113,40679,37,1,990.7330331751755
92,314,462,93,60733,18,0,1253.2271373658025
93,314,309,84,70870,15,0,1343.5450609964114
94,314,774,79,39865,14,0,612.7382072611717
95,314,261,69,31202,50,0,1693.2568612566572
96,314,283,49,47513,21,0,1154.2747203247284
97,314,1338,116,85678,32,1,1954.950503215591
98,345,194,96,60147,21,0,1230.8336607054016
99,351,138,82,56957,28,0,2090.541831450337
100,355,436,89,22931,30,0,787.0881533507908
101,379,556,52,7246,19,0,408.75554621435487
102,387,735,109,32184,3,1,62.388948909134676
103,399,481,79,78585,35,0,3188.0065008930324
104,399,740,84,24865,26,0,822.4841258200346
105,399,576,118,49640,9,0,372.63131241242604
106,400,1351,36,45712,43,1,2385.2784257937656
